2248559	6000.0	0	500.0	0.6	0	12.0	12.6
2244854	5000.0	0	500.0	0.5	12.6	10.0	23.1
2245013	6000.0	0	500.0	0.6	23.1	12.0	35.7
2245285	7000.0	0	500.0	0.7	35.7	14.0	50.400000000000006
2244997	7000.0	0	500.0	0.7	50.4	14.0	65.1
2247038	7000.0	0	500.0	0.7	65.1	14.0	79.8
2245422	10000.0	0	500.0	1.0	79.8	20.0	100.8
2244627	12000.0	0	500.0	1.2	100.8	24.0	126.0
2247466	9000.0	0	500.0	0.9	126.0	18.0	144.9
2247474	11000.0	0	500.0	1.1	144.9	22.0	168.0
2246867	6000.0	0	500.0	0.6	168.0	12.0	180.6
2244911	5000.0	0	500.0	0.5	180.6	10.0	191.1
2246013	9000.0	0	500.0	0.9	191.1	18.0	210.0
2244754	9000.0	0	500.0	0.9	210.0	18.0	228.9
2246735	6000.0	0	500.0	0.6	228.9	12.0	241.5
2247123	6000.0	0	500.0	0.6	241.5	12.0	254.1
2246756	7000.0	0	500.0	0.7	254.1	14.0	268.79999999999995
2246746	11000.0	0	500.0	1.1	268.8	22.0	291.90000000000003
2245672	11000.0	0	500.0	1.1	291.9	22.0	315.0
2248210	5000.0	0	500.0	0.5	315.0	10.0	325.5
2247632	6000.0	0	500.0	0.6	325.5	12.0	338.1
2248290	11000.0	0	500.0	1.1	338.1	22.0	361.20000000000005
2247561	11000.0	0	500.0	1.1	361.2	22.0	384.3
2244143	7000.0	0	500.0	0.7	384.3	14.0	399.0
2245635	11000.0	0	500.0	1.1	399.0	22.0	422.1
2244845	8000.0	1	500.0	0.8	0	16.0	16.8
2248449	4000.0	1	500.0	0.4	16.8	8.0	25.2
2244630	8000.0	1	500.0	0.8	25.2	16.0	42.0
2247201	7000.0	1	500.0	0.7	42.0	14.0	56.7
2247512	9000.0	1	500.0	0.9	56.7	18.0	75.6
2245948	11000.0	1	500.0	1.1	75.6	22.0	98.69999999999999
2247985	20000.0	1	500.0	2.0	98.7	40.0	140.7
2247986	6000.0	1	500.0	0.6	140.7	12.0	153.29999999999998
2247820	7000.0	1	500.0	0.7	153.3	14.0	168.0
2244525	6000.0	1	500.0	0.6	168.0	12.0	180.6
2245540	5000.0	1	500.0	0.5	180.6	10.0	191.1
2244806	7000.0	1	500.0	0.7	191.1	14.0	205.79999999999998
2244416	6000.0	1	500.0	0.6	205.8	12.0	218.4
2244486	6000.0	1	500.0	0.6	218.4	12.0	231.0
2247129	7000.0	1	500.0	0.7	231.0	14.0	245.7
2247596	5000.0	1	500.0	0.5	245.7	10.0	256.2
2247563	9000.0	1	500.0	0.9	256.2	18.0	275.09999999999997
2245213	6000.0	1	500.0	0.6	275.1	12.0	287.70000000000005
2247566	6000.0	1	500.0	0.6	287.7	12.0	300.3
2246305	6000.0	1	500.0	0.6	300.3	12.0	312.90000000000003
2246318	6000.0	1	500.0	0.6	312.9	12.0	325.5
2246393	7000.0	1	500.0	0.7	325.5	14.0	340.2
2244001	5000.0	1	500.0	0.5	340.2	10.0	350.7
2245075	6000.0	1	500.0	0.6	350.7	12.0	363.3
2245249	11000.0	1	500.0	1.1	363.3	22.0	386.40000000000003
2246294	5000.0	1	500.0	0.5	386.4	10.0	396.9
2244850	6000.0	2	1000.0	0.6	0	6.0	6.6
2245024	9000.0	2	1000.0	0.9	6.6	9.0	16.5
2244717	9000.0	2	1000.0	0.9	16.5	9.0	26.4
2243776	10000.0	2	1000.0	1.0	26.4	10.0	37.4
2246541	6000.0	2	1000.0	0.6	37.4	6.0	44.0
2247983	11000.0	2	1000.0	1.1	44.0	11.0	56.1
2245267	6000.0	2	1000.0	0.6	56.1	6.0	62.7
2247322	8000.0	2	1000.0	0.8	62.7	8.0	71.5
2247880	5000.0	2	1000.0	0.5	71.5	5.0	77.0
2245989	19000.0	2	1000.0	1.9	77.0	19.0	97.9
2246979	7000.0	2	1000.0	0.7	97.9	7.0	105.60000000000001
2244727	12000.0	2	1000.0	1.2	105.6	12.0	118.8
2246375	6000.0	2	1000.0	0.6	118.8	6.0	125.39999999999999
2246462	6000.0	2	1000.0	0.6	125.4	6.0	132.0
2243906	7000.0	2	1000.0	0.7	132.0	7.0	139.7
2248379	5000.0	2	1000.0	0.5	139.7	5.0	145.2
2245735	7000.0	2	1000.0	0.7	145.2	7.0	152.89999999999998
2246488	7000.0	2	1000.0	0.7	152.9	7.0	160.6
2247425	6000.0	3	1000.0	0.6	0	6.0	6.6
2248448	6000.0	3	1000.0	0.6	6.6	6.0	13.2
2247515	10000.0	3	1000.0	1.0	13.2	10.0	24.2
2247736	11000.0	3	1000.0	1.1	24.2	11.0	36.3
2247470	9000.0	3	1000.0	0.9	36.3	9.0	46.199999999999996
2246085	7000.0	3	1000.0	0.7	46.2	7.0	53.900000000000006
2246967	11000.0	3	1000.0	1.1	53.9	11.0	66.0
2244759	4000.0	3	1000.0	0.4	66.0	4.0	70.4
2246957	7000.0	3	1000.0	0.7	70.4	7.0	78.10000000000001
2248503	12000.0	3	1000.0	1.2	78.1	12.0	91.3
2248457	5000.0	3	1000.0	0.5	91.3	5.0	96.8
2247840	5000.0	3	1000.0	0.5	96.8	5.0	102.3
2248733	6000.0	3	1000.0	0.6	102.3	6.0	108.89999999999999
2246391	20000.0	3	1000.0	2.0	108.9	20.0	130.9
2248380	10000.0	3	1000.0	1.0	130.9	10.0	141.9
2245586	7000.0	3	1000.0	0.7	141.9	7.0	149.6
2248291	7000.0	3	1000.0	0.7	149.6	7.0	157.29999999999998
