3007.8495	0.92	1.6	1
3016.9296	0.93	1.8	1
3030.2831	0.93	1.6	1
3048.71	0.87	1.9	1
3072.2103	0.92	1.9	1
3100.5173	0.84	1.8	1
3132.5643	1.0	1.4	1
3168.8847	0.9	1.6	1
3209.7451	0.77	1.7	1
3255.4122	0.88	1.8	1
3305.0860000000002	0.8	1.5	1
3359.8332	0.87	1.9	1
3420.4538000000002	0.84	2.2	1
3485.6144000000004	0.96	1.7	1
3554.7817000000005	0.87	1.5	1
3629.8224000000005	0.84	2.2	1
3709.4031000000004	0.93	1.7	1
3794.0572000000006	0.82	1.9	1
3883.5180000000005	0.86	1.8	1
3978.0522000000005	0.81	1.9	1
4078.1931000000004	0.81	2.1	1
4183.140700000001	0.95	1.8	1
4292.361700000001	0.89	1.6	1
4405.856100000001	0.95	1.6	1
4525.490500000001	0.81	2.3	1
4651.531600000001	0.78	2.4	1
4782.912700000001	0.83	2.0	1
4918.300500000001	0.91	1.5	1
5057.961700000001	0.96	1.6	1
5202.6963000000005	0.89	1.9	1
5352.5043000000005	0.94	1.9	1
5506.319	0.85	1.5	1
5664.1404	0.94	1.5	1
5827.0352	0.87	1.9	1
5994.47	0.88	1.7	1
6166.9782000000005	0.85	1.9	1
