,ins_74901673,task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,j_217,10,Terminated,673795,673797,m_2637,1,1.1,13,16,0.02,0.02.1
56,ins_688610906,M1,j_2014,1,Terminated,372602,372615,m_3528,1,1,95.0,129.0,0.05,0.05
57,ins_564677633,M1,j_2014,1,Terminated,372603,372616,m_502,1,1,93.0,127.0,0.04,0.05
58,ins_929638292,M1,j_2014,1,Terminated,372603,372618,m_621,1,1,80.0,113.0,0.05,0.05
59,ins_766979552,M1,j_2014,1,Terminated,372602,372614,m_2420,1,1,104.0,130.0,0.04,0.05
60,ins_492640019,M1,j_2014,1,Terminated,372602,372613,m_2902,1,1,102.0,154.0,0.05,0.05
61,ins_1204219084,M1,j_2014,1,Terminated,372602,372616,m_2896,1,1,87.0,128.0,0.04,0.05
62,ins_848295455,M1,j_2014,1,Terminated,372602,372614,m_1002,1,1,99.0,132.0,0.05,0.05
63,ins_766979835,M1,j_2014,1,Terminated,372602,372615,m_1060,1,1,89.0,125.0,0.05,0.05
64,ins_1092322109,M1,j_2014,1,Terminated,372603,372616,m_110,1,1,88.0,115.0,0.05,0.05
65,ins_1258031479,M1,j_2014,1,Terminated,372603,372612,m_2543,1,1,109.0,177.0,0.05,0.05
66,ins_996207900,M1,j_2014,1,Terminated,372602,372615,m_3402,1,1,92.0,142.0,0.05,0.05
67,ins_411601861,M1,j_2014,1,Terminated,372602,372616,m_1654,1,1,85.0,124.0,0.04,0.05
68,ins_914884365,M1,j_2014,1,Terminated,372602,372615,m_2421,1,1,90.0,149.0,0.05,0.05
69,ins_330247198,M1,j_2014,1,Terminated,372603,372618,m_826,1,1,77.0,107.0,0.04,0.05
70,ins_851343761,M1,j_2014,1,Terminated,372602,372613,m_1401,1,1,99.0,152.0,0.05,0.05
71,ins_408670292,M1,j_2014,1,Terminated,372602,372663,m_1623,1,1,81.0,115.0,0.05,0.05
72,ins_1258031729,M1,j_2014,1,Terminated,372602,372612,m_2387,1,1,108.0,146.0,0.05,0.05
73,ins_1176719276,M1,j_2014,1,Terminated,372602,372614,m_3472,1,1,98.0,127.0,0.04,0.05
74,ins_688611233,M1,j_2014,1,Terminated,372603,372616,m_3131,1,1,87.0,127.0,0.05,0.05
75,ins_167264942,M1,j_2014,1,Terminated,372603,372618,m_3672,1,1,76.0,115.0,0.05,0.05
76,ins_996208090,M1,j_2014,1,Terminated,372603,372617,m_511,1,1,83.0,131.0,0.05,0.05
77,ins_1173698204,M1,j_2014,1,Terminated,372603,372615,m_3301,1,1,95.0,126.0,0.05,0.05
78,ins_1339393723,M1,j_2014,1,Terminated,372602,372612,m_3313,1,1,107.0,139.0,0.05,0.05
79,ins_833551209,M1,j_2014,1,Terminated,372602,372614,m_2979,1,1,93.0,129.0,0.05,0.05
